Вакансия,Зарплата,Местоположение,Описание
Администратор,25 000 руб.,Город не указан,"Опыт работы: 1.06.2012г.- 11.04.2013 г. Администрация сп. Югыдъяг, должность – бухгалтер (первичная документация, введение кассы, инвентаризация); 12.04.2013г.-24.01.2014г., МДОУ Дет.сад № 1 «Сказка»,..."
Переводчик,20 000 руб.,Город не указан,"Образование (Высшее) Самарский государственный архитектурно-строительный университет, Самара (2013, Институт экологии и систем инженерного жизнеобеспечения (Факультет инженерных систем и природоохранн..."
Менеджер по логистике,50 000 руб.,Город не указан,"Здравствуйте. Я по специальности инженер по организации перевозок и управлению морским транспортом. В 2005 году окончила ГМА Макарова, факультет международного транспортного менеджмента. Опыт работы в..."
Удалённый личный помощник (ассистент),5 000 руб.,Город не указан,"Хочу работать личным ассистентом, желание огромное, готова учиться и разбираться в освоении новых сфер деятельности. С русским языком проблем нет (грамматика, пунктуация); умею работать с пакетом micr..."
Руководитель (заместитель),50 000 руб.,Город не указан,"Дата рождения: 23.12.1992, 26 лет Опыт работы: Эксперт по спецоценке условий труда ООО СтандартСервис Август 2018—по настоящее время Инженер лаборатории химико-технологических исследований АО ""Тульско..."
Бухгалтер (удаленно),15 000 руб.,Город не указан,"Опыт работы: - 2013-2018 г.г.  ГОАУЗ МЦРБ Бухгалтер  Работа с документами. Прием, обработка первичных документов по оплате льготного проезда. Составление авансовых отчетов. Составление справок о средн..."
Переводчик английского языка (удаленная работа),20 000 руб.,Город не указан,Образование: 2014 – 2018	Сибирский государственный университет путей сообщения 	Специальность: Промышленное и гражданское строительство 	Квалификация: Инженер-строитель Мотивация к дальнейшей работе:...
Копирайтер / рерайтер,20 000 руб.,Город не указан,Опыт работы Частный предприниматель с 03.2004 по наст. время. Качественный копирайт и рерайт текстов. Безупречное знание русского языка. Английский – на высоком уровне.  Опыт работы в области написаня...
"Копирайтер, маркетолог",3 000 руб.,Город не указан,"Предлагаю качественные услуги рекламы и копирайтинга в удалённом режиме работы.  Я не просто копирайтер, я практик-маркетолог, имеющий 6-летний опыт написания текстов, продающих товар.  Создавая ПРОДА..."
Трейдер,60 000 руб.,Город не указан,"Дата рождения: 23.12.1992, 26 лет Опыт работы: Эксперт по спецоценке условий труда ООО СтандартСервис Август 2018—по настоящее время Инженер лаборатории химико-технологических исследований АО ""Тульско..."
"Оператор ПК (ввод данных Word, Excel)",15 000 руб.,Город не указан,"Пол:			Мужской Возраст:		        43 года Образование:		высшее Владение ПК:		продвинутый пользователь			 			        Word, Exel,  			        работа с документами и таблицами          			интернет, почта..."
Оператор ПК / Оператор ввода данных,15 000 руб.,Город не указан,"28 лет, родился 4 июня 1991 Окончил ""Петербургский Государственный Университет Путей Сообщения"" по специальности ""Строительство железных дорог, путь и путевое хозяйство"". Место работы: ОАО ""Радиоавион..."
Системный аналитик,100 000 руб.,Город не указан,"Дата рождения: 28.12.1976 Город: Краснодар, Российская Федерация Ключевые компетенции:  •	Опыт управления IT-отделом (3-5 человек) •	Управление бюджетом отдела •	Профессионализм •	Аналитический склад..."
Тестировщик / QA,15 000 руб.,Город не указан,"Опыт работы — 7 лет 6 месяцев   Ноябрь 2007 — Сентябрь 2014 6 лет 11 месяцев Март 2007 — Сентябрь 2007 7 месяцев Образование Высшее Севастопольский национальный технический университет, Севастополь АВ..."
Специалист (удаленно),45 000 руб.,Город не указан,"Обо мне: – профессионал в области ISO 14001, OHSAS 18001: выявление и управление рисками, обеспечение соблюдения требований охраны труда, промышленной и пожарной безопасности, охраны окружающей среды..."
Бухгалтер,30 000 руб.,Город не указан,"Резюме Ф.И.О.	Матвеева Саида Раисовна Дата рождения 	03.10.1982	 Адрес регистрации	446020 г. Сызрань, пр. Гагарина, д.27А, кв. 28 Семейное положение	Разведена. Дети	Дочь 2007 г.р. (есть с кем оставлят..."
Программист,80 000 руб.,Город не указан,"Образование: высшее. Очное обучение в ЧелГУ с 1995 по 2000гг. Физический факультет, кафедра радиофизики и электроники. Специальность – радиофизик, cпециализация – компьютерная электроника. Опыт работы..."
Специалист в банковской сфере,40 000 руб.,Город не указан,"Дата рождения: 23.12.1992, 26 лет Местоположение: г. Тула. Опыт работы: Эксперт по спецоценке условий труда ООО СтандартСервис Август 2018—по настоящее время Инженер лаборатории химико-технологических..."
Экономист,30 000 руб.,Город не указан,"Дата рождения: 23.12.1992, 26 лет Место проживания: г. Тула Опыт работы: Эксперт по спецоценке условий труда ООО СтандартСервис Август 2018—по настоящее время Инженер лаборатории химико-технологически..."
Оператор колл-центра,40 000 руб.,Город не указан,"Образование высшее, ЮРГУ, 1979-1984гг, факультет - экономика и организация строительства, специальность - инженер-экономист. Опыт работы- ПАО СБЕРБАНК 1994-2018гг. Последняя должность - руководитель с..."
Переводчик английского,35 000 руб.,Город не указан,"Уважаемый Работодатель,        У меня есть опыт работы в иностранных компаниях, в основном, строительных, со знанием английского языка, а также со знанием технического английского языка, опытом работы..."
Менеджер,50 000 руб.,Город не указан,"Дата рождения: 23.12.1992, 26 лет Местоположение: г. Тула Опыт работы: Эксперт по спецоценке условий труда ООО СтандартСервис Август 2018—по настоящее время Инженер лаборатории химико-технологических..."
Главный бухгалтер,50 000 руб.,Город не указан,"Некрасова Татьяна Евгеньевна Женщина, 44 года, родилась 21 марта 1975 Проживает: Альметьевск Гражданство: Россия, есть разрешение на работу: Россия Не готова к переезду, не готова к командировкам Жела..."
Главный бухгалтер,30 000 руб.,Город не указан,"Высшее экономическое образование. Стаж работы главным бухгалтером 2005 - 2019г ТОО ""Golden Car"" БИН 050340007889 Инженер- программист в ОАО ""Казахмыс""-ВостокКазмедь"" Жезкентский горно-обогатительный к..."
"Администратор или разработчик MS SQL Server разработчик Oracle, PostGre",130 000 руб.,Город не указан,"Готов к сложной и интересной работе. Опыт работы с MSSQL c 2002 года. Навыки: • Администрирование баз данных: Microsoft SQL Server • Отчетность: Microsoft Report Server,IBM Cognos • Анализ данных: Mic..."
"IT-специалист, администратор",25 000 руб.,Город не указан,"Опыт работы 4 месяца Август 2019 — Ноябрь 2019 ЦИАН, Модератор-стажер Модерация объявлений Поиск и удаление фейковой недвижимости 2 года Август 2017 — Июль 2019 Вестум.ру, Интернет-портал рынка недвиж..."
"Администратор, Рекрутер, Менеджер",25 000 руб.,Город не указан,Образование: высшее 1. СГТУ (2010-2015) Промышленное и гражданское строительство (специалист) 2. СГТУ (2015-2019) Гостиничный и ресторанный сервис и туризм Опыт работы: 1. ДОЛ «Ровесник» (сезонная раб...
Вентиляция,40 000 руб.,Город не указан,"Инженер по тепло-газоснабжения , кондиционирования и вентиляции"
Инженер ПТО,40 000 руб.,Город не указан,"Опыт работы 4 месяца Декабрь 2021 — Март 2022 ООО ""ИНЖЕНЕРЖИЛСЕРВИС"", Инженер ПТО (удаленно) -организация входного контроля проектной и рабочей документации объектов кап. стр-ва и сравнение ее с разре..."
Специалист по работе с клиентами,35 000 руб.,Город не указан,Образование:              2001-2006 Новосибирский Государственный Технический Университет. Специальность: Технология продуктов питания. Квалификация: Инженер-технолог. 2019 АНО ДПО УКЦ «Алгоритм-С» Сп...
Сметчик (удаленно),25 000 руб.,Город не указан,"Личная информация Город проживания:	Кемеровская область, г. Междуреченск 	 Уровень образования:	Средне-техническое (ПГС) Дата рождения:	22 ноября 1973 г. (45 лет) Пол:	Женский Семейное положение:	Заму..."
Удаленный помощник,10 000 руб.,Город не указан,"О себе: высшее инженерное образование, работаю в крупной нефтесервисной компании Ответственная, внимательная, пунктуальная Знание языков: Английский - Upper Intermediate Испанский - А2"
Инженер генерального плана,40 000 руб.,Город не указан,"Разрабатываю генеральный план. Интересует удаленная работа по специальности – инженер генерального плана. самостоятельно выполняю генеральные планы малоэтажной и многоэтажной жилой застройки, торговых..."
Инспектор по персоналу,25 000 руб.,Город не указан,"Тюменский дом науки повышение квалификации, Специалист по работе с персоналом 1996 Тюменский государственный университет, Тюмень юридический, правоведение 1995 МОСКОВСКИЙ ГИФИ Физико-математическая шк..."
Копирайтер,10 000 руб.,Город не указан,"Ищу подработку копирайтером , основная работа в должности инженера-технолога 2 категории.Свободно работаю в ворде и экселе , грамотность , пунктуальность гарантирую."
QA engineer (удаленно),30 000 руб.,Город не указан,"QA engineer (удаленно) Занятость: проектная работа, частичная занятость, полная занятость График работы: вахтовый метод, удаленная работа, гибкий график, полный день, сменный график Рабочий стаж 10 ле..."
"Дизайнер интерьера, архитектор удаленно",20 000 руб.,Город не указан,"Личные данные Дата рождения: 24 февраля 1968г. Место рождения: г. Донецк Семейное положение: разведен Адрес: г. Донецк, ул. Новочеркасская, д. 33.  Телефон: +38(071) 485-01-78, andreyislamovdizain@gma..."
Инженер проектировщик,60 000 руб.,Город не указан,"Образование высшее Инженер электрик. Опыт работы на всех стадиях электромонтажа от проектирования до эксплуатации. Официальный опыт проектирования 1,5 года. Проектирование жилых и общественных зданий,..."
Инженер-сметчик,10 000 руб.,Город не указан,"Опыт работы 5 лет 3 месяца Июль 2021 — по настоящее время 1 год 4 месяца ООО ""АмурГидро"" Хабаровск Инженер-сметчик • Разработка ПСД в экспертизу с ее полным прохождением по устройству русел рек и доро..."
Техническая поддержка,30 000 руб.,Город не указан,"Ноябрь 2016 — Март 2017	 	СМП Банк, ОАО Москва, smpbank.ru Руководитель группы мониторинга Обеспечение исполнения возложенных на Группу задач и функций. Распределение обязанностей между работниками Гр..."
Бухгалтер на удаленную работу,25 000 руб.,Город не указан,Образование: 2008г. – 2012г. Камский Институт Гуманитарных и Инженерных Технологий Специальность: Экономист 2003г. – 2005г. Ижевский Кооперативный Техникум Специальность: Менеджер Трудовая деятельност...
Финансист / Экономист,60 000 руб.,Город не указан,"Руководитель,главный бухгалтер,финансист,экономист,аудитор компании.Редактировать Бухгалтерия, управленческий учет, финансы предприятия Руководство бухгалтерией Финансовый менеджмент Экономист Занятос..."
Оператор ПК,30 000 руб.,Город не указан,"Инженер-метролог, высшее 5 лет ВКА, работа с документами, переводы, оператор ПК, подработка удаленно."
Инженер конструктор расчётчик,30 000 руб.,Город не указан,Инженер конструктор. Разделы КЖ КМ АР расчет строительных конструкций
Инженер генерального плана,60 000 руб.,Город не указан,"Интересует удаленная работа по специальности – инженер генерального плана.  Имею  15-ти летний опыт работы инженером-генпланистом, самостоятельно выполняла генеральные планы малоэтажной и многоэтажной..."
Инженер-проектировщик,40 000 руб.,Город не указан,"Получил бакалавра в МЭИ по специальности теплоэнергетика и теплотехника. Окончил доп курсы инженерной графики в среде AUTOCAD и методы конечных элементов в курсе ""динамика и прочность машин"". Был небо..."
Инженер,80 000 руб.,Город не указан,Образование высшее пгс Среднее геодезия  Опыт работы более 7 лет
Инженер-технолог,10 000 руб.,Город не указан,"2018-2019 г ООО ""Эстрел"", Инженер-конструктор. Реверс-инжиниринг, проектирование пресс-форм, расчёт конструкций на прочность. Работа в программах SolidWorks, Autodesk Inventor, AutoCAD 2019-2022 г АО..."
QA Инженер /Тестировщик,40 000 руб.,Город не указан,"Занятость: частичная занятость, полная занятость График работы: удаленная работа, гибкий график, полный день Опыт работы —5 месяцев (Январь 2022 — Май 2022) Компания: Скип Должность: Manual QA Enginee..."
Инженер-строитель,15 000 руб.,Город не указан,"Состою в нострое с 2017г, есть действующее удостоверение повышения квалификации 2021г. Ищу удаленную работу. ЗП 15тр"
Инженер конструктор,150 000 руб.,Город не указан,"Учёба  1998-2002 г.г. Санкт-Петербургский Филиал Военно-Инженерного Университета 07. 2002 - 10. 2008 г.г. Должность: Художник-конструктор 10. 2008 г.- н.в. Должность: Инженер-конструктор , Начальник к..."
Инженер-конструктор,30 000 руб.,Город не указан,"Инженер-конструктор, 45 лет. Опыт работы в проектном институте - 10 лет. Занимался: 1) проектированием жилых, общественных, производственных зданий и сооружений; 2) реконструкцией жилых, общественных,..."
ML-инженер,15 000 руб.,Город не указан,"Три года самостоятельного изучения С# в среде Unity. Опыт разработки игровых и прикладных приложений. Два года практики и теории в Яндекс.Лицее по Python, основы работы с фреймворками SQLite, PyQT, Fl..."
Инженер-конструктор,30 000 руб.,Город не указан,"С 2010 года работал в сфере строительства. Начинал мастером СМР на стройке, работал инженером ПТО в строительных организациях. С 2016 года работаю инженером-конструктором . Занимаюсь моделированием и..."
Инженер по тестированию ПО,50 000 руб.,Город не указан,"Дата рождения: 22.09.1990 Хобби: Тренажерный зал, путешествия, чтение, видеоигры, настольные игры Образование: 2013 г. Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова..."
Инженер-программист,3 000 руб.,Город не указан,"Октябрь 2021 — апрель 2022 7 месяцев Банк Санкт-Петербург, ОАО Санкт-Петербург, www.bspb.ru Стажер Сопровождение процесса принятия сервисов на круглосуточную поддержку, а именно: - Взаимодействие с IT..."
Инженер-проектировщик ОВиК,120 000 руб.,Город не указан,"Проектирование систем вентиляции, отопления и кондиционирования. ИТП (ТМ, УУТЭ) Разработка раздела энергетической эффективности. Разработка проектов котельных для частных домов/коттеджей Разработка ко..."
Junior DevOps инженер,3 000 руб.,Город не указан,"Январь 2022 — по настоящее время 6 месяцев Сарафан sarawan.ru/ DevOps инженер При помощи Ansible развернул и настроил на облачном сервере в Docker-compose: - GitLab CI, GitLab Runner - систему монитор..."
Инженер,100 000 руб.,Город не указан,"Разработка конструкторской документации металлоконструкций и листового металла(эскизы,3Д-модели,чертежи).  Также имеется опыт работы по изготовлению стандартной мебели из ЛДСП,МДФ. Работаю в программа..."
Инженер,35 000 руб.,Город не указан,"Высшее образование, работа инженером, организация мероприятий, видеомонтаж."
Инженер- сметчик,3 000 руб.,Город не указан,"Образование: Высшее образование. Ростовский Государственный Строительный Университет, ПГС. Год окончания - 2003г. Красный диплом. Опыт работы 16 лет в должности Инженер-сметчик: 1) ООО «ПКФ Донпроект»..."
Инженер-конструктор,10 000 руб.,Город не указан,"Имею многолетний опыт работы инженером-конструктором, Чертежи разрабатывал в Autocad. Немного обучался Revit."
"Инженер сметчик, инженер ПТО",10 000 руб.,Город не указан,Опыт работы 16 лет Образование 1999 - 2003 Архангельский техникум строительства и экономики  - Строительство и эксплуатация зданий и сооружений 2003-2009	 Институт информационных технологий  - Приклад...
Инженер-конструктор,40 000 руб.,Город не указан,"ЗАО ""Мегапласт"" Инженер-конструктор Разработка эскизных, технических и рабочих проектов, сложных и средней сложности изделий в программе CATIA. Создание 3D моделей, чертежей на оснастку. Работа с техн..."
"Инженер ОТ, ПБ и ООС",30 000 руб.,Город не указан,Образование 2004- 2010г - Ижевский государственный технический университет - специальность «Безопасность технологических процессов и производств». Профессиональный опыт: • Май 2020- январь 2022 ООО «Т...
Инженер-конструктор,45 000 руб.,Город не указан,"Опыт работы инженером-конструктором - 20 лет.  Механика, нестандартное оборудование, сварные конструкции, конструктив электротехнических и электронных изделий, изделия ТНП. 3D моделирование и чертежи..."
Инженер-конструктор,60 000 руб.,Город не указан,"Ноябрь 2021 — по настоящее время 6 месяцев ООО ""КОММАН"" (Кировский филиал закрывается) Москва, comman.ru Инженер-конструктор Разработка систем биогаза для с/х предприятий и нестандартного оборудования..."
Инженер-теплотехник,80 000 руб.,Город не указан,СИНИЦА      МАРИЯ      ИВАНОВНА Должность: Инженер Желаемая зарплата :  от 80 000 рублей ________________________________________________ Электронная почта:- Телефон :  - _____________________________...
Инженер-конструктор,60 000 руб.,Город не указан,"Работаю ведущим инженером-конструктором на АО ""Завод Прибор"", г. Челябинск. Проектирую специальную оснастку для токарных, фрезерных станков, обрабатывающих центров с ЧПУ. Проектирую оснастку для гальв..."
Инженер-программист,100 000 руб.,Город не указан,"Высшее образование: Бакалавр, выпуск 2017г. Московский политехнический университет (бывший МГТУ МАМИ) Факультет информационных технологий, Информационные системы и технологии Опыт работы: Февраль 2014..."
"Инженер-конструктор, Проектировщик",60 000 руб.,Город не указан,"Я инженер-конструктор, проектировщик. Образование: Закончил Казанский Государственный Строительный Университет по специальности инженер-конструктор строительной техники. Работаю в программе Компас 3D,..."
Инженер-конструктор,30 000 руб.,Город не указан,"Образование: бакалавриат и магистр  Форма обучения: Очная Годы обучения: 2014-2018гг; 2019-2021гг. Опыт работы: Более 3-х лет Разрабатываю разделы: КР (КЖ, КМ), ЭЭ, ПОС, ПОД.  Владею Автокадом, Монома..."
Руководитель отдела / группы инженерно-экологических изысканий,80 000 руб.,Город не указан,"Работаю в инженерно-экологических изысканиях с 2000г. Работа в компаниях: НК-Роснефть (2000-2002), ОАО ИнжГео (2002-2009), ОАО Нефтепроект (2009-2017), ООО Мосгипропроект (2017-2022). Выполняю весь ко..."
QA-инженер/Тестировщик ПО,40 000 руб.,Город не указан,После 10 лет работы я ухожу с позиции ведущего инженера-конструктора чтобы найти свою первую работу в роли QA-инженера. Годы работы на позиции инженера-конструктора дали мне отличную возможность научи...
Инженер-сметчик,4 000 руб.,Город не указан,"Опытный инженер-строитель. Образование высшее, ПГС. Общий стаж более 35 лет, различные объекты (от Московской обл. до Сахалина), различные должности, промышленное строительство, нефтегазовое строитель..."
Инженер,20 000 руб.,Город не указан,Здравствуйте! Меня зовут Николай Сосненко. Мне 34 года.  По специальности я инженер радиотехник. У меня большое желание работать в вашем коллективе. Я знаю коды HTML5 и CSS3. Уверенный пользователь ПК...
"Инженер-проектировщик, специалист, удаленный сотрудник",35 000 руб.,Город не указан,"Закончил Санкт-Петербургский Политехнический Университет им. Петра Великого по специальности инженер-энергетик (магистр) С октября 2019 года работаю в филиале ПАО «ФСК ЕЭС» МЭС Северо-Запада, за это в..."
Инженер программист,160 000 руб.,Город не указан,"Знания в : Turbo Pascal, Delphi ,Borland Delphi, Android, Java, Android SDK, Eclipse, Kotlin, PHP, HTML, CSS3, JavaScript, jQuery, Python, Linux , MS Visual Studio, Visual Studio, C#, Qt QML, Visual S..."
"Инженер проектировщик ЭМ, ЭГ",70 000 руб.,Город не указан,"Опыт проектирования разделов ЭМ, ЭГ - 3 года. Исполнительный, неконфликтный, всегда добросовестно выполняю работу, без вредных привычек. Уверенный пользователь ПК. Владею программами Autocad, Nanocad,..."
Инженер,50 000 руб.,Город не указан,"Имею высшее образование по специальности математик, системный программист.  Опыт работы с различными конфигурациями 1с, базами данных SQL, создание и продвижение сайтов, написание текстов.  Благодаря..."
Инженер-сметчик,35 000 руб.,Город не указан,"Составление и проверка локальных, объектных смет, сводных сметных расчетов. Подготовка актов КС-2, КС-3, ведение накопительных (КС-6, КС-6а). Согласование договоров и контроль исполнения договоров по..."
Инженер-конструктор,30 000 руб.,Город не указан,"Имею навыки программирования на Delphi, VBA, Python"
Инженер-проектировщик слаботочных систем,3 000 руб.,Город не указан,"Проектирование на стадии ""П"", ""Р"" (шеф монтаж, пусконаладка), подготовка исполнительной документации по разделам: 1. Автоматическая пожарная сигнализация 2. Система оповещения и управления эвакуацией..."
Техник-инженер по Информационной безопасности автоматизированных систем,45 000 руб.,Город не указан,"Оператор ЭВМ,владею всем пакетом Microsoft Office, закончил обучение в 2020 Технический Колледж им С.И Мосина при ТулГу,специальность Специалист Информационной безопасности автоматизированных систем,и..."
ПК-инженерия,10 000 руб.,Город не указан,"Хорошо разбираюсь в компьютерных комплектующих. Могу удаленно настраивать, устанавливать драйвера на пк. Хочу найти хорошую удаленную работу на компьютере.  Был достаточно большой опыт с пк и их настр..."
Архитектор / Конструктор / Инженер-проектировщик (раздел АР),20 000 руб.,Город не указан,33 года Образование: Брестский государственный технический университет  Факультет: промышленное и гражданское строительство Специальность: инженер-строитель 2005-2009 гг Опыт работы: 2010-2012 - масте...
Инженер,50 000 руб.,Город не указан,"Опыт в разработке и производстве полупроводниковых приборов (силовые и СВЧ диоды и транзисторы, светодиоды на AlGaAs, фотоприемники), Участие в НИР и ОКР. Разработка и создание уникального оборудовани..."
Инженер-конструктор,60 000 руб.,Город не указан,"Ищу дополнительную работу. Образование:                 Высшее; Тамбовский государственный технический университет, 2008 Специальность:             Инженер; «Проектирование и технология РЭС» Знание пр..."
Мастер по ремонту компьютеров/Сервисный инженер,40 000 руб.,Город не указан,настройка оборудования Ремонт ПК Удаление вирусов Установка программ настройка интернета Установка драйверов чистка от пыли Тормозит или Зависает Не видит устройство Bⲟccтaⲏoвление данных Зaмeⲏа термо...
Радиоинженер электронщик,30 000 руб.,Город не указан,Большой опыт по работе с компьютером в интернете. С компом на ты. 45 летний опыт в радиотехнике и электронике
Инженер-конструктор,3 000 руб.,Город не указан,"Опыт проектирования сложной технологической оснастки (штампы, пресс-формы), ёмкостное оборудование, строительные конструкции, нестандартное оборудование. Ищу работу на удалённой основе."
QA-инженер/тестировщик,20 000 руб.,Город не указан,С 2006 года работал в сфере телекоммуникации и связи.  Всегда был тесно связан с Ethernet и Internet. С  2012 по 2013 участвовал в закрытом бета-тестировании игрового проекта War Thunder.  Оформлял ба...
Инженер-проектировщик слаботочных систем,30 000 руб.,Город не указан,"Ищу работу на удаленке по совмещению. Имею опыт в разработке проектной и рабочей документации слаботочных систем (опыт на фрилансе) , уверенно владею AutoCad, Компас. Могу грамотно и обоснованно подоб..."
Инженер-конструктор,100 000 руб.,Город не указан,Образование: Высшее (Кубанский Государственный технологический университет) Форма обучения: Очная Годы обучения: 2000-2005  Опыт работ: 10.2005 г. по 07.2016 - инженер-конструктор АО «Кубаньжелдормаш»...
Инженер-конструктор,30 000 руб.,Город не указан,"Ищу удаленную работу конструктором. Имею опыт в машиностроении в том числе с листовым металлом и сварными конструкциями. Работаю в Компас-3D, SolidWorks, T-Flex."
Инженер-проектировщик автомобильных дорог и генеральных планов,80 000 руб.,Город не указан,"Инженер-проектировщик автомобильных дорог и генеральных планов. Опыт работы 18 лет. Разрабатываю разделы ПЗУ (ГП), ТКР-АД, ППО, НК2. Опытный пользователь AutoCAD. Расчеты дорожных одежд выполняю в про..."
Инженер-тестировщик ПО,40 000 руб.,Город не указан,"Женщина, 22 года, родилась 23 апреля 1998 года Гражданство: Россия, есть разрешение на работу: Россия Готова к командировкам Желаемая должность и зарплата Стажер-тестировщик от 40.000 рублей. Занятост..."
Инженер химик,50 000 руб.,Город не указан,Контроль качества по Гостовсой системе. Обеспечение соблюдения технических условий и гигиенических стандартов. Специализация на мучных кондитерских изделиях со сроком хранения от 90 до 180 дней и выше...
Инженер TV эфира. WEB .Photoshop,40 000 руб.,Город не указан,Навыки	 Ответственность      Коммуникабельность    Adobe Photoshop   SAI      WEB    FDOnAir      MS Excel      MS Word      OpenOffice      HTML  Работа с лог фаилами
"Инженер-проектировщик ОВиВК, транспорт нефти, добыча нефти",70 000 руб.,Город не указан,"Проектирование линейных трубопроводов: Разработка проектной документации, разработка технического задания, проведение переговоров с заказчиками и субподрядчиками, проведение необходимых расчётов и под..."
"Инженер, маркетинг, продажи",45 000 руб.,Город не указан,Опыт работы Январь 2015 – Январь 2018 год: Работа со стендом полунатурного моделирования локальной активно – адаптивной сети в лаборатории кафедры МСА ПНИПУ. Были выполнены работы по приведению стенда...
"Инженер конструктор-технолог РЭА - образование по диплому, инженер по информационной безопасности - по месту работы",50 000 руб.,Город не указан,"Работал в системе Банка России, в подразделениях информационной безопасности. Основная сфера деятельности - обеспечение защиты платежей с использованием криптографической защиты информации. Исполнял о..."
Инженер-сметчик,20 000 руб.,Город не указан,"Составление локальных сметных расчетов базисно-индексным методом на земляные, ремонтные, общестроительные работы по чертежам, спецификациям, ведомостям объемов работ.  Подготовка договоров подряда, до..."
Инженер программист,60 000 руб.,Город не указан,Работаю преподавателем в СОШ. Теоретически знаю основ нескольких языков программированию. Хорошо владею таджикский язык и русский язык. Уровень  английского языка ниже.Я таджик.  Работать буду  только...
"Инженер-специалист, помощник юриста",15 000 руб.,Город не указан,"Опыт работы —4 месяца Август 2020 — декабрь 2020 ОРОО ""Защита прав потребителей"" Омск Специалист по земельно-имущественным отношениям Подготовка пакета документов в суд, работа с клиентами Образование..."
Инженер конструктор,60 000 руб.,Город не указан,"Расчет и проектирование зданий и сооружений из стальных, железобетонных, деревянных и каменных конструкций. Опыт работы с 1999 года. Имеется опыт прохождения экспертиз. Расчеты в программном комплексе..."
